ResponseId,Duration (in seconds),showdata,Q-demos-age,Q-demos-gender,Q-demos-hispanic,Q-demos-race,Q-demos-income,Q-demos-state,Q-share-browser-data,Q-perceptions-1,Q-perceptions-2,source
R_1yfm4oNtwYgkCtZ,118,true,55 - 64 years,Female,No,White or Caucasian,"$100,000 - $149,999",California,Decline,Somewhat agree ,Strongly agree,PROLIFIC
R_1ygfuSKxudiMd2V,62,true,35 - 44 years,Male,No,White or Caucasian,"Less than $25,000",California,Consent to share,Neutral ,Somewhat agree ,PROLIFIC
R_1ylPKIke75U8Je9,73,false,18 - 24 years,Female,No,White or Caucasian,"$25,000 - $49,999",Missouri,Consent to share,Strongly disagree ,Somewhat agree ,PROLIFIC
R_1ym6OL5yTVS8ptq,48,false,25 - 34 years,Male,No,"White or Caucasian,American Indian/Native American or Alaska Native","$150,000 or more",Maine,Consent to share,Neutral ,Somewhat agree ,PROLIFIC
R_1ysxDfjAIVHKRY5,36,true,35 - 44 years,Female,No,White or Caucasian,"$50,000 - $74,999",Florida,Decline,Somewhat agree ,Somewhat agree ,PROLIFIC
R_1z4ndPSn0aCMSDn,49,false,25 - 34 years,Male,Yes,White or Caucasian,"$50,000 - $74,999",Oregon,Consent to share,Neutral ,Strongly agree,PROLIFIC
R_1z6j7f19kvtAxy2,133,true,45 - 54 years,Female,No,"White or Caucasian,Black or African American","$75,000 - $99,999",Texas,Consent to share,Somewhat disagree ,Neutral ,PROLIFIC
R_1z7n72vGOyYqDbV,56,false,35 - 44 years,Female,No,White or Caucasian,"Less than $25,000",Florida,Consent to share,Strongly disagree ,Somewhat agree ,PROLIFIC
R_1z8gxXBgvCcO9Vh,62,true,25 - 34 years,Male,No,White or Caucasian,"$50,000 - $74,999",Ohio,Decline,Somewhat agree ,Somewhat agree ,PROLIFIC
R_1zC3ozqcb5GENRG,67,false,45 - 54 years,Female,No,White or Caucasian,"$50,000 - $74,999",Arizona,Decline,Somewhat agree ,Somewhat agree ,PROLIFIC
R_1zCYzPuzPWZqNfr,57,false,35 - 44 years,Male,No,White or Caucasian,"$100,000 - $149,999",Oregon,Consent to share,Somewhat disagree ,Strongly agree,PROLIFIC
R_1zClL2kjgsaim4x,491,true,25 - 34 years,Male,No,White or Caucasian,"$75,000 - $99,999",California,Decline,Somewhat agree ,Strongly agree,PROLIFIC
R_1zFIDoyJsEKaDLt,35,false,35 - 44 years,Female,No,White or Caucasian,"$25,000 - $49,999",Michigan,Consent to share,Strongly disagree ,Neutral ,PROLIFIC
R_1zG7fOmSZdPpbP0,48,false,25 - 34 years,Male,No,White or Caucasian,"$25,000 - $49,999",Ohio,Consent to share,Somewhat agree ,Somewhat agree ,PROLIFIC
R_1zHZudGOuiXxrMm,59,false,25 - 34 years,Male,No,White or Caucasian,"$25,000 - $49,999",Wisconsin,Consent to share,Neutral ,Somewhat agree ,PROLIFIC
R_1zI0GSiV3cy0OIN,68,true,25 - 34 years,Male,No,"White or Caucasian,Black or African American,Asian","$25,000 - $49,999",New York,Consent to share,Somewhat disagree ,Neutral ,PROLIFIC
R_1zJ98aophTHncAo,39,true,45 - 54 years,Female,No,White or Caucasian,"$25,000 - $49,999",Georgia,Consent to share,Somewhat disagree ,Neutral ,PROLIFIC
R_1zNmUgnb7A83LaN,175,true,18 - 24 years,Female,Yes,Other,"$50,000 - $74,999",Illinois,Consent to share,Somewhat disagree ,Somewhat agree ,PROLIFIC
R_1zOPOspFz9VOEMx,52,false,45 - 54 years,Male,No,White or Caucasian,"$100,000 - $149,999",Pennsylvania,Consent to share,Somewhat disagree ,Somewhat agree ,PROLIFIC
R_1zOPvFQewLEyctH,91,false,45 - 54 years,Male,No,Asian,"$100,000 - $149,999",New York,Decline,Somewhat agree ,Strongly agree,PROLIFIC
R_1zPcxmTSD7qK0CZ,158,false,18 - 24 years,Female,No,Other,"Less than $25,000",New York,Consent to share,Neutral ,Strongly agree,PROLIFIC
R_1zVdZWeumQ3vmyc,38,true,35 - 44 years,Female,No,White or Caucasian,"$100,000 - $149,999",Illinois,Consent to share,Somewhat agree ,Somewhat agree ,PROLIFIC
R_1zYK17iJqj4k3Fq,79,true,25 - 34 years,Female,No,White or Caucasian,"$25,000 - $49,999",California,Consent to share,Somewhat agree ,Somewhat agree ,PROLIFIC
R_1zZTnGoBxKRWVS9,53,true,25 - 34 years,Male,No,"White or Caucasian,Asian","$150,000 or more",Virginia,Decline,Somewhat disagree ,Somewhat agree ,PROLIFIC
R_1zZveEvic8NVqNp,90,false,55 - 64 years,Male,No,White or Caucasian,"$75,000 - $99,999",New Hampshire,Consent to share,Somewhat agree ,Strongly agree,PROLIFIC
R_1zbzxWLysLB2TW4,42,false,45 - 54 years,Female,No,White or Caucasian,"$75,000 - $99,999",Pennsylvania,Consent to share,Somewhat disagree ,Neutral ,PROLIFIC
R_1zeEZXQxAoPREMc,70,true,45 - 54 years,Male,No,White or Caucasian,"$50,000 - $74,999",Texas,Consent to share,Somewhat disagree ,Somewhat agree ,PROLIFIC
R_1zh72Bhu4FvpuVP,62,true,35 - 44 years,Male,No,White or Caucasian,"$75,000 - $99,999",Oregon,Consent to share,Neutral ,Somewhat agree ,PROLIFIC
R_1zhaJdQkN2UeKjv,64,true,25 - 34 years,Female,No,White or Caucasian,"$50,000 - $74,999",Michigan,Consent to share,Strongly agree,Somewhat agree ,PROLIFIC
R_1zo6Xl54uKOK7mp,64,true,65 or older,Female,No,White or Caucasian,"$75,000 - $99,999",Georgia,Decline,Strongly disagree ,Somewhat agree ,PROLIFIC
R_1zrL3NNZcCC516h,130,true,25 - 34 years,Male,No,White or Caucasian,"$50,000 - $74,999",Minnesota,Decline,Somewhat disagree ,Neutral ,PROLIFIC
R_1zvbE2xkvzZke2g,28,false,18 - 24 years,Female,Yes,Asian,"$25,000 - $49,999",California,Consent to share,Somewhat agree ,Neutral ,PROLIFIC
R_1zwiTONvj5rJPbv,78,true,35 - 44 years,Male,No,White or Caucasian,"$25,000 - $49,999",Michigan,Consent to share,Somewhat agree ,Neutral ,PROLIFIC
R_1zyyXhv72Y1PBcd,59,true,25 - 34 years,Male,No,White or Caucasian,"$75,000 - $99,999",North Carolina,Consent to share,Somewhat disagree ,Somewhat agree ,PROLIFIC
R_1zzH7AF1YFkcZta,108,true,25 - 34 years,Female,Yes,White or Caucasian,"$50,000 - $74,999",Washington,Consent to share,Somewhat disagree ,Somewhat agree ,PROLIFIC
R_2DwtlWwGIUhSq7Z,49,false,35 - 44 years,Female,No,White or Caucasian,"$25,000 - $49,999",Ohio,Consent to share,Somewhat agree ,Somewhat agree ,PROLIFIC
R_2EaBOp1C8Ne9gom,121,false,45 - 54 years,Male,No,White or Caucasian,"$100,000 - $149,999",Texas,Consent to share,Strongly agree,Strongly agree,PROLIFIC
R_2FDa3MPmje3unbX,90,true,35 - 44 years,Male,No,White or Caucasian,"$150,000 or more",Michigan,Consent to share,Somewhat agree ,Strongly agree,PROLIFIC
R_2HOKS3Noa7VZyrI,118,true,35 - 44 years,Male,No,Black or African American,"$100,000 - $149,999",California,Decline,Strongly agree,Somewhat agree ,PROLIFIC
R_2ImzvDeb3qe2cTL,133,true,25 - 34 years,Female,No,Black or African American,"$150,000 or more",New York,Decline,Strongly disagree ,Strongly agree,PROLIFIC
R_2MoqBaHNZJZ3p17,49,true,18 - 24 years,Female,No,White or Caucasian,Prefer not to say,New Jersey,Consent to share,Somewhat disagree ,Neutral ,PROLIFIC
R_2fvG1JnTHrjTdME,410,false,25 - 34 years,Male,No,Black or African American,"$150,000 or more",Florida,Decline,Somewhat agree ,Strongly agree,PROLIFIC
R_2xIOJrYah1iPEQG,75,false,25 - 34 years,Male,No,White or Caucasian,"$75,000 - $99,999",Wisconsin,Consent to share,Somewhat agree ,Strongly agree,PROLIFIC
R_303FHXaRFaysAOl,39,false,25 - 34 years,Female,No,White or Caucasian,"$25,000 - $49,999",California,Decline,Neutral ,Somewhat agree ,PROLIFIC
R_303pLBiWYWB9ciJ,83,true,35 - 44 years,Male,Yes,White or Caucasian,"$50,000 - $74,999",Washington,Decline,Neutral ,Somewhat agree ,PROLIFIC
R_3044754NwgzwKS5,105,true,25 - 34 years,Female,No,White or Caucasian,"$25,000 - $49,999",Missouri,Consent to share,Somewhat disagree ,Somewhat disagree ,PROLIFIC
R_306NUI3RBIdxAYA,65,false,35 - 44 years,Male,No,White or Caucasian,"$50,000 - $74,999",Louisiana,Consent to share,Neutral ,Neutral ,PROLIFIC
R_307rMy4GEwZRn8G,49,false,35 - 44 years,Male,No,White or Caucasian,"$150,000 or more",Illinois,Decline,Somewhat agree ,Strongly agree,PROLIFIC
R_308H79xslQm3Ys0,85,true,35 - 44 years,Male,No,White or Caucasian,"$75,000 - $99,999",North Carolina,Consent to share,Strongly disagree ,Somewhat disagree ,PROLIFIC
R_308fnfnyXchcQ8E,78,false,45 - 54 years,Male,No,White or Caucasian,"Less than $25,000",Michigan,Consent to share,Neutral ,Somewhat agree ,PROLIFIC
R_30AYCuyVyqyZTfo,52,false,25 - 34 years,Male,No,White or Caucasian,"$75,000 - $99,999",West Virginia,Consent to share,Strongly agree,Strongly disagree ,PROLIFIC
R_30Csvd79nHS5tQE,65,false,35 - 44 years,Male,No,White or Caucasian,"$75,000 - $99,999",Illinois,Consent to share,Somewhat agree ,Somewhat agree ,PROLIFIC
R_30IsC4DhBnbRn3Z,148,false,25 - 34 years,Male,No,White or Caucasian,"$25,000 - $49,999",Arkansas,Consent to share,Neutral ,Neutral ,PROLIFIC
R_30Ji7Hl5zrz9PEx,102,true,45 - 54 years,Male,No,White or Caucasian,"$50,000 - $74,999",Tennessee,Consent to share,Somewhat agree ,Somewhat agree ,PROLIFIC
R_30MFmft4pfXsF10,59,true,25 - 34 years,Female,No,White or Caucasian,"$100,000 - $149,999",Massachusetts,Consent to share,Strongly disagree ,Somewhat agree ,PROLIFIC
R_30N7scajTvMUxL0,108,true,35 - 44 years,Male,No,White or Caucasian,"$50,000 - $74,999",Michigan,Decline,Somewhat agree ,Strongly agree,PROLIFIC
R_30NEP7d1uUrjDnX,117,true,25 - 34 years,Male,No,White or Caucasian,"$75,000 - $99,999",Utah,Consent to share,Somewhat agree ,Neutral ,PROLIFIC
R_30NIeIuJu5ZaDsZ,133,false,55 - 64 years,Female,No,White or Caucasian,"$25,000 - $49,999",Illinois,Consent to share,Somewhat agree ,Somewhat agree ,PROLIFIC
R_30OjRPsi8dll5wl,41,false,25 - 34 years,Female,No,White or Caucasian,"$50,000 - $74,999",California,Consent to share,Strongly disagree ,Neutral ,PROLIFIC
R_30T5iO5ZlsobnVc,58,false,35 - 44 years,Male,Yes,White or Caucasian,"$100,000 - $149,999",California,Consent to share,Somewhat disagree ,Strongly agree,PROLIFIC
R_30TJ5rcpec2U649,62,false,35 - 44 years,Female,No,Asian,"$75,000 - $99,999",California,Consent to share,Somewhat disagree ,Strongly agree,PROLIFIC
R_30TzY1eqFXF2Ptq,85,false,18 - 24 years,Male,No,White or Caucasian,"$100,000 - $149,999",New York,Consent to share,Strongly agree,Strongly agree,PROLIFIC
R_30U055gleCtNvsS,106,true,25 - 34 years,Male,No,White or Caucasian,"Less than $25,000",Wisconsin,Consent to share,Somewhat agree ,Strongly agree,PROLIFIC
R_30UmvpSLw64pgFM,48,true,35 - 44 years,Female,No,White or Caucasian,"$75,000 - $99,999",Idaho,Decline,Somewhat agree ,Strongly agree,PROLIFIC
R_30VlEx8fjWZg14x,62,true,25 - 34 years,Female,No,Asian,"$25,000 - $49,999",Virginia,Consent to share,Somewhat agree ,Strongly agree,PROLIFIC
R_30XV12mS44XXUlP,48,true,25 - 34 years,Male,No,White or Caucasian,"$25,000 - $49,999",California,Consent to share,Strongly disagree ,Somewhat disagree ,PROLIFIC
R_30YbUPIAWoG5eSN,61,true,25 - 34 years,Other,No,White or Caucasian,"$100,000 - $149,999",California,Consent to share,Strongly agree,Strongly agree,PROLIFIC
R_30ZHc3LR0iWurM6,56,true,35 - 44 years,Male,No,Other,"$25,000 - $49,999",Oklahoma,Consent to share,Neutral ,Somewhat agree ,PROLIFIC
R_30cxIYconDjbiQE,92,true,18 - 24 years,Other,No,"White or Caucasian,Asian","$50,000 - $74,999",Texas,Consent to share,Somewhat agree ,Somewhat agree ,PROLIFIC
R_30dighuqNjIFW1V,96,false,35 - 44 years,Female,No,White or Caucasian,"$75,000 - $99,999",Pennsylvania,Decline,Strongly disagree ,Strongly agree,PROLIFIC
R_30fc1qomdKm3wmI,33,false,25 - 34 years,Male,No,White or Caucasian,"$150,000 or more",Indiana,Consent to share,Strongly agree,Neutral ,PROLIFIC
R_30kHTQ3dkIB5QkW,41,true,25 - 34 years,Male,No,"White or Caucasian,Asian","$50,000 - $74,999",California,Consent to share,Neutral ,Somewhat disagree ,PROLIFIC
R_30kQUyqxEQ8cCwT,41,false,18 - 24 years,Female,No,White or Caucasian,"$50,000 - $74,999",North Carolina,Consent to share,Strongly disagree ,Somewhat agree ,PROLIFIC
R_30oPb1tByA7ZMBP,37,false,45 - 54 years,Female,No,White or Caucasian,"$75,000 - $99,999",Illinois,Decline,Strongly disagree ,Strongly agree,PROLIFIC
R_30oRyQuh82pe9Eo,44,false,18 - 24 years,Male,Yes,Asian,"$100,000 - $149,999",California,Consent to share,Somewhat disagree ,Somewhat agree ,PROLIFIC
R_30oxIhluPaoqPQz,33,false,35 - 44 years,Male,Yes,White or Caucasian,"$150,000 or more",California,Consent to share,Strongly agree,Strongly agree,PROLIFIC
R_30pmbzL3Pdxkb7Z,71,false,25 - 34 years,Male,No,White or Caucasian,"$150,000 or more",Maryland,Consent to share,Strongly disagree ,Somewhat agree ,PROLIFIC
R_30pmpSD32gTrpro,95,false,35 - 44 years,Male,No,White or Caucasian,"Less than $25,000",South Carolina,Decline,Somewhat agree ,Strongly agree,PROLIFIC
R_30qL6cqY0zbbxDR,43,false,25 - 34 years,Female,No,White or Caucasian,"$75,000 - $99,999",North Carolina,Consent to share,Somewhat agree ,Somewhat agree ,PROLIFIC
R_30tWtpzVYMojU6B,65,false,25 - 34 years,Female,No,White or Caucasian,"$25,000 - $49,999",Tennessee,Consent to share,Strongly disagree ,Somewhat disagree ,PROLIFIC
R_30vH42ngun8IE4t,64,true,45 - 54 years,Female,No,White or Caucasian,"Less than $25,000",Wisconsin,Consent to share,Somewhat disagree ,Somewhat agree ,PROLIFIC
R_30vjNnzOXerAiuf,45,false,25 - 34 years,Female,No,White or Caucasian,"$75,000 - $99,999",Virginia,Decline,Neutral ,Somewhat agree ,PROLIFIC
R_30w2ZSSyXyH5P5F,47,true,18 - 24 years,Female,No,White or Caucasian,"$25,000 - $49,999",Michigan,Decline,Strongly disagree ,Neutral ,PROLIFIC
R_30wRyLzNFrkNIyD,69,true,18 - 24 years,Female,No,Asian,"Less than $25,000",California,Consent to share,Neutral ,Somewhat agree ,PROLIFIC
R_30wV5yyKhHWXoel,50,false,65 or older,Male,No,White or Caucasian,"$50,000 - $74,999",Florida,Consent to share,Somewhat agree ,Somewhat disagree ,PROLIFIC
R_310B8x5EY0mL9l9,285,true,35 - 44 years,Male,No,Black or African American,"$50,000 - $74,999",Arkansas,Consent to share,Somewhat agree ,Somewhat agree ,PROLIFIC
R_314lcC06IPFZ6xM,43,false,18 - 24 years,Other,No,White or Caucasian,"$75,000 - $99,999",Florida,Consent to share,Somewhat disagree ,Neutral ,PROLIFIC
R_315XlbZerNvA556,120,true,35 - 44 years,Male,No,White or Caucasian,"$25,000 - $49,999",Tennessee,Consent to share,Somewhat agree ,Somewhat disagree ,PROLIFIC
R_315ipQ5lBJqZqqQ,84,true,25 - 34 years,Male,No,White or Caucasian,"$75,000 - $99,999",Wisconsin,Consent to share,Somewhat disagree ,Strongly agree,PROLIFIC
R_316uoWI4KJ9golU,70,true,65 or older,Female,No,White or Caucasian,"$25,000 - $49,999",Oregon,Consent to share,Strongly disagree ,Neutral ,PROLIFIC
R_31724S0euHylleS,74,false,25 - 34 years,Male,No,"White or Caucasian,Black or African American","$25,000 - $49,999",West Virginia,Consent to share,Somewhat disagree ,Somewhat agree ,PROLIFIC
R_317FC09Lkai5d9K,51,true,45 - 54 years,Male,No,White or Caucasian,"$150,000 or more",Oregon,Consent to share,Strongly disagree ,Somewhat agree ,PROLIFIC
R_317XpbU2J0IPlYZ,104,true,45 - 54 years,Female,No,Black or African American,"$50,000 - $74,999",Texas,Decline,Neutral ,Somewhat agree ,PROLIFIC
R_31A7lC2NGAhjPUJ,117,true,35 - 44 years,Male,No,Asian,"$150,000 or more",Massachusetts,Consent to share,Somewhat agree ,Somewhat agree ,PROLIFIC
R_31BTDboO8leDFHl,74,true,35 - 44 years,Male,No,White or Caucasian,"$50,000 - $74,999",Idaho,Consent to share,Neutral ,Somewhat agree ,PROLIFIC
R_31DdauorgqydgOJ,81,false,25 - 34 years,Male,Yes,White or Caucasian,"$25,000 - $49,999",Texas,Consent to share,Somewhat agree ,Strongly agree,PROLIFIC
R_31EEQz0gHUrVwvd,92,false,55 - 64 years,Male,No,White or Caucasian,"$75,000 - $99,999",Washington,Decline,Somewhat agree ,Strongly agree,PROLIFIC
R_31FFniHiPotHOvc,57,true,45 - 54 years,Male,No,White or Caucasian,"$100,000 - $149,999",Hawaii,Consent to share,Neutral ,Somewhat agree ,PROLIFIC
R_31FMNubicMnwhVk,77,false,45 - 54 years,Male,No,White or Caucasian,"$100,000 - $149,999",Tennessee,Consent to share,Somewhat agree ,Somewhat disagree ,PROLIFIC
R_31FXyjxmSEJqmbs,362,true,65 or older,Female,No,Black or African American,"$25,000 - $49,999",Pennsylvania,Decline,Somewhat agree ,Somewhat agree ,PROLIFIC
R_31GCiMBuoOLEdJk,52,false,35 - 44 years,Male,Yes,White or Caucasian,"Less than $25,000",Iowa,Consent to share,Somewhat disagree ,Neutral ,PROLIFIC
R_31GqmsARQsYaS1F,32,true,25 - 34 years,Male,Yes,White or Caucasian,"$75,000 - $99,999",Virginia,Decline,Somewhat agree ,Somewhat agree ,PROLIFIC
R_31HMH61sSDuDWyl,76,false,35 - 44 years,Male,No,White or Caucasian,"$75,000 - $99,999",Georgia,Decline,Strongly agree,Strongly agree,PROLIFIC
R_31Ig4vQpQYdtldv,73,false,35 - 44 years,Female,No,White or Caucasian,"$50,000 - $74,999",Oregon,Decline,Strongly disagree ,Strongly agree,PROLIFIC
R_31Kn3KKPptAdi6s,88,false,65 or older,Female,No,White or Caucasian,"Less than $25,000",New York,Consent to share,Neutral ,Somewhat agree ,PROLIFIC
R_31M1SBvYqDKxuOD,143,false,55 - 64 years,Male,Yes,White or Caucasian,"Less than $25,000",California,Decline,Somewhat agree ,Strongly agree,PROLIFIC
R_31MpmN7NVrNFdC6,116,true,55 - 64 years,Female,Yes,White or Caucasian,"$75,000 - $99,999",Florida,Decline,Strongly disagree ,Neutral ,PROLIFIC
R_31NHqLlWhjzBvJT,114,false,45 - 54 years,Female,No,White or Caucasian,"Less than $25,000",Nevada,Consent to share,Somewhat agree ,Somewhat agree ,PROLIFIC
R_31NoznIePJTYDnI,120,true,35 - 44 years,Female,Yes,White or Caucasian,"$25,000 - $49,999",Michigan,Decline,Somewhat disagree ,Somewhat agree ,PROLIFIC
R_31NqghCkmNsfd5x,68,false,35 - 44 years,Female,No,Asian,"Less than $25,000",California,Consent to share,Neutral ,Somewhat agree ,PROLIFIC
R_31Nx13nGOnwoEGk,78,false,45 - 54 years,Female,No,White or Caucasian,"$50,000 - $74,999",Tennessee,Decline,Somewhat disagree ,Somewhat agree ,PROLIFIC
R_31RXmtIZrd4aJ1B,1411,false,35 - 44 years,Female,No,White or Caucasian,"$75,000 - $99,999",Florida,Consent to share,Strongly disagree ,Strongly agree,PROLIFIC
R_31TrbV9Ke1JL3tn,122,true,55 - 64 years,Female,No,White or Caucasian,"$75,000 - $99,999",Colorado,Decline,Somewhat disagree ,Somewhat agree ,PROLIFIC
R_31VB4yVgDQey9u9,143,false,45 - 54 years,Female,Yes,Other,"$100,000 - $149,999",North Carolina,Consent to share,Somewhat agree ,Somewhat agree ,PROLIFIC
R_31XdzHfGn2sh8zQ,82,false,55 - 64 years,Female,No,Black or African American,"Less than $25,000",Florida,Consent to share,Somewhat disagree ,Strongly agree,PROLIFIC
R_31YulWNJHrq8ang,80,true,25 - 34 years,Male,No,White or Caucasian,"$150,000 or more",Arizona,Consent to share,Somewhat agree ,Strongly agree,PROLIFIC
R_31Z6Mcqh4MonNFo,77,true,45 - 54 years,Male,No,White or Caucasian,"$50,000 - $74,999",Texas,Consent to share,Somewhat agree ,Somewhat disagree ,PROLIFIC
R_31ZBMwBJ5uOF1jb,55,false,35 - 44 years,Male,No,White or Caucasian,"$25,000 - $49,999",Michigan,Decline,Somewhat agree ,Somewhat agree ,PROLIFIC
R_31a2diHYk3SgoDQ,71,true,45 - 54 years,Female,No,Black or African American,"Less than $25,000",Michigan,Consent to share,Strongly disagree ,Strongly agree,PROLIFIC
R_31acxzOCpIpsnRl,41,true,18 - 24 years,Female,No,Asian,"Less than $25,000",New York,Decline,Strongly disagree ,Neutral ,PROLIFIC
R_31afzYCxLIKgbRO,481,true,18 - 24 years,Female,No,Black or African American,Prefer not to say,Louisiana,Consent to share,Somewhat agree ,Neutral ,PROLIFIC
R_31azUANysULNFrO,92,true,55 - 64 years,Female,No,White or Caucasian,"$50,000 - $74,999",Florida,Decline,Somewhat agree ,Strongly agree,PROLIFIC
R_31bcyJ4JOqxYO47,34,false,18 - 24 years,Male,No,Asian,"$150,000 or more",Virginia,Consent to share,Somewhat agree ,Somewhat agree ,PROLIFIC
R_31bleZrCAJ6lasP,50,true,35 - 44 years,Female,No,"White or Caucasian,American Indian/Native American or Alaska Native","$100,000 - $149,999",Tennessee,Decline,Somewhat agree ,Somewhat agree ,PROLIFIC
R_31bv2GZwIJRH3uo,67,true,25 - 34 years,Male,No,White or Caucasian,"$25,000 - $49,999",California,Consent to share,Somewhat agree ,Somewhat agree ,PROLIFIC
R_31dDY8MdQhaWjXP,61,true,35 - 44 years,Female,No,White or Caucasian,"$25,000 - $49,999",Illinois,Decline,Strongly disagree ,Strongly agree,PROLIFIC
R_31dRkiZv3E2tbQw,32,true,35 - 44 years,Male,No,White or Caucasian,"$50,000 - $74,999",Illinois,Consent to share,Somewhat agree ,Somewhat disagree ,PROLIFIC
R_31dyzH27ZtzSFwv,46,false,35 - 44 years,Female,No,White or Caucasian,"$100,000 - $149,999",Texas,Consent to share,Somewhat agree ,Somewhat agree ,PROLIFIC
R_31gejf3mY5aQvno,53,true,25 - 34 years,Male,No,Asian,"$25,000 - $49,999",California,Decline,Strongly disagree ,Strongly agree,PROLIFIC
R_31gsCKBUeTXqxSQ,52,false,35 - 44 years,Female,No,White or Caucasian,"$75,000 - $99,999",New Jersey,Decline,Strongly disagree ,Neutral ,PROLIFIC
R_31h7DiB28GsqBoD,63,false,45 - 54 years,Male,No,White or Caucasian,"$150,000 or more",Florida,Consent to share,Somewhat agree ,Strongly agree,PROLIFIC
R_31i3EgqQfdTwdu2,48,true,35 - 44 years,Female,No,White or Caucasian,"$25,000 - $49,999",Michigan,Decline,Neutral ,Somewhat agree ,PROLIFIC
R_31i8FDhRNZops0k,437,true,55 - 64 years,Male,No,White or Caucasian,"$100,000 - $149,999",Kentucky,Consent to share,Somewhat agree ,Somewhat agree ,PROLIFIC
R_31iTCBOvRFJCA5t,293,true,55 - 64 years,Male,No,White or Caucasian,"$100,000 - $149,999",Indiana,Consent to share,Somewhat agree ,Neutral ,PROLIFIC
R_31iaVAC0Dn2X5SN,53,true,18 - 24 years,Female,No,Other,"$25,000 - $49,999",Ohio,Consent to share,Strongly disagree ,Neutral ,PROLIFIC
R_31j6Cj313bDZ3AM,46,true,25 - 34 years,Male,Yes,White or Caucasian,"$50,000 - $74,999",New Jersey,Decline,Somewhat agree ,Strongly agree,PROLIFIC
R_31jjFolgogk8j7s,94,true,45 - 54 years,Male,No,Black or African American,"$100,000 - $149,999",Texas,Consent to share,Neutral ,Neutral ,PROLIFIC
R_31jyEhyGy7TWSCW,55,true,25 - 34 years,Male,No,White or Caucasian,"Less than $25,000",Pennsylvania,Consent to share,Neutral ,Somewhat agree ,PROLIFIC
R_31mmx0QmM4Nj02d,41,false,25 - 34 years,Male,No,White or Caucasian,Prefer not to say,California,Decline,Neutral ,Neutral ,PROLIFIC
R_31mukyT90fMCfZf,42,true,18 - 24 years,Female,No,Black or African American,"Less than $25,000",Arkansas,Decline,Neutral ,Strongly agree,PROLIFIC
R_31nIjFaXXpy9p74,73,true,35 - 44 years,Female,No,White or Caucasian,"$25,000 - $49,999",Utah,Consent to share,Somewhat agree ,Somewhat disagree ,PROLIFIC
R_31nOpb34OjwAxJn,247,false,25 - 34 years,Male,No,Black or African American,"$50,000 - $74,999",Louisiana,Consent to share,Somewhat agree ,Strongly agree,PROLIFIC
R_31nR2fxfxz7eESU,69,false,55 - 64 years,Male,No,White or Caucasian,"$50,000 - $74,999",Arizona,Consent to share,Neutral ,Somewhat agree ,PROLIFIC
R_31o6Qx9gadXrmR3,77,true,65 or older,Female,No,White or Caucasian,"$25,000 - $49,999",Ohio,Consent to share,Somewhat agree ,Neutral ,PROLIFIC
R_31oHuZs6n3M6E5B,78,true,25 - 34 years,Female,No,White or Caucasian,"$150,000 or more",Massachusetts,Consent to share,Somewhat agree ,Neutral ,COLLEAGUE
R_31tDoCfgGNCZ1HX,85,false,25 - 34 years,Female,No,Black or African American,"$50,000 - $74,999",Georgia,Consent to share,Somewhat agree ,Strongly agree,PROLIFIC
R_31tbwvC9W35rD0Z,58,false,35 - 44 years,Male,No,White or Caucasian,"$100,000 - $149,999",Kentucky,Consent to share,Somewhat disagree ,Neutral ,PROLIFIC
R_31vhJzvQ9ZwrFQL,110,true,45 - 54 years,Male,No,White or Caucasian,"Less than $25,000",Georgia,Consent to share,Somewhat agree ,Strongly agree,PROLIFIC
R_31xHBIWjhqnTYT7,100,true,55 - 64 years,Male,No,White or Caucasian,"$25,000 - $49,999",Rhode Island,Consent to share,Strongly disagree ,Strongly agree,PROLIFIC
R_31yAWhoCDxA631F,62,true,35 - 44 years,Female,Yes,Other,"$50,000 - $74,999",Pennsylvania,Consent to share,Neutral ,Strongly agree,PROLIFIC
R_31yC81U4QmJyfvH,58,true,18 - 24 years,Female,No,White or Caucasian,"$25,000 - $49,999",Pennsylvania,Decline,Strongly disagree ,Neutral ,PROLIFIC
R_31zTCEkhrHXnTCG,53,false,35 - 44 years,Male,No,Asian,"$75,000 - $99,999",Massachusetts,Consent to share,Strongly agree,Strongly agree,PROLIFIC
R_31zXVHJLufKicRN,56,false,45 - 54 years,Female,No,White or Caucasian,"$150,000 or more",New Jersey,Consent to share,Neutral ,Strongly agree,PROLIFIC
R_32169GixURcQd5n,43,true,35 - 44 years,Male,No,White or Caucasian,"$150,000 or more",Illinois,Decline,Somewhat agree ,Strongly agree,PROLIFIC
R_321JT7mo0uXHC9z,65,false,55 - 64 years,Male,No,White or Caucasian,"$25,000 - $49,999",Florida,Decline,Somewhat agree ,Strongly agree,PROLIFIC
R_323AGXrQl71fvaO,33,true,35 - 44 years,Male,No,White or Caucasian,"$50,000 - $74,999",North Carolina,Consent to share,Strongly agree,Neutral ,PROLIFIC
R_323vVksbQkclylX,63,true,35 - 44 years,Male,No,White or Caucasian,"$75,000 - $99,999",Virginia,Decline,Strongly agree,Strongly agree,PROLIFIC
R_324orKQ5u3gg1jX,75,false,35 - 44 years,Male,No,White or Caucasian,"$75,000 - $99,999",Ohio,Consent to share,Somewhat agree ,Neutral ,PROLIFIC
R_325YfMLlgHVdVfH,64,false,45 - 54 years,Female,No,White or Caucasian,"Less than $25,000",Nebraska,Consent to share,Somewhat disagree ,Neutral ,PROLIFIC
